Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Luka Dončić,24,DAL,PG,22,22,900,225,504,.446,68,211,.322,157,293,.536,.514,117,153,.765,16,192,208,178,41,8,90,56,635,,doncilu01
2,Kyrie Irving,31,DAL,SG,22,22,879,186,398,.467,53,136,.390,133,262,.508,.534,62,73,.849,22,59,81,113,23,7,51,62,487,,irvinky01
3,Jayson Tatum,25,BOS,PF,19,19,768,159,372,.427,39,138,.283,120,234,.513,.480,118,137,.861,17,167,184,119,20,13,50,54,475,,tatumja01
4,Jaylen Brown,27,BOS,SF,19,19,707,175,339,.516,36,110,.327,139,229,.607,.569,68,103,.660,22,91,113,62,23,12,51,51,454,Finals MVP-1,brownja02
5,Anthony Edwards,22,MIN,SG,16,16,649,156,324,.481,46,115,.400,110,209,.526,.552,83,102,.814,18,94,112,104,24,9,52,37,441,,edwaran01
6,Jalen Brunson,27,NYK,PG,13,13,518,151,340,.444,26,84,.310,125,256,.488,.482,93,120,.775,8,35,43,97,10,2,35,26,421,,brunsja01
7,Pascal Siakam,29,IND,PF,17,17,603,157,290,.541,14,47,.298,143,243,.588,.566,39,63,.619,42,86,128,64,13,7,19,48,367,,siakapa01
8,Nikola Jokić,28,DEN,C,12,12,482,133,244,.545,14,53,.264,119,191,.623,.574,64,71,.901,43,118,161,104,17,8,40,32,344,,jokicni01
9,Derrick White,29,BOS,SG,19,19,676,109,241,.452,65,161,.404,44,80,.550,.587,35,38,.921,19,62,81,77,18,23,16,44,318,,whitede01
10,Karl-Anthony Towns,28,MIN,PF,16,16,522,108,232,.466,30,83,.361,78,149,.523,.530,59,69,.855,35,109,144,42,12,3,27,55,305,,townska01
11,Shai Gilgeous-Alexander,25,OKC,PG,10,10,399,111,224,.496,16,37,.432,95,187,.508,.531,64,81,.790,8,64,72,64,13,17,22,31,302,,gilgesh01
12,Donovan Mitchell,27,CLE,SG,10,10,382,107,225,.476,29,82,.354,78,143,.545,.540,53,65,.815,6,48,54,47,13,3,28,29,296,,mitchdo01
13,Myles Turner,27,IND,C,17,17,550,106,205,.517,39,86,.453,67,119,.563,.612,38,50,.760,26,87,113,36,8,25,33,44,289,,turnemy01
14,P.J. Washington,25,DAL,PF,22,22,785,100,234,.427,47,135,.348,53,99,.535,.528,39,55,.709,33,112,145,31,16,17,32,67,286,,washipj01
15,Tyrese Haliburton,23,IND,PG,15,15,522,105,215,.488,53,140,.379,52,75,.693,.612,17,20,.850,12,60,72,123,19,10,31,14,280,,halibty01
16,Andrew Nembhard,24,IND,PG,17,17,554,102,182,.560,29,60,.483,73,122,.598,.640,20,26,.769,14,42,56,94,6,4,23,56,253,,nembhan01
17,Jrue Holiday,33,BOS,PG,19,19,720,97,193,.503,35,87,.402,62,106,.585,.593,21,22,.955,37,79,116,83,21,12,29,40,250,,holidjr01
18,Jamal Murray,26,DEN,PG,12,12,462,100,249,.402,23,73,.315,77,176,.438,.448,24,26,.923,9,43,52,67,10,6,31,28,247,,murraja01
19,Donte DiVincenzo,27,NYK,SG,13,13,466,80,191,.419,45,106,.425,35,85,.412,.537,26,30,.867,13,39,52,34,16,12,16,29,231,,divindo01
20,Derrick Jones Jr.,26,DAL,SF,22,22,647,77,160,.481,24,65,.369,53,95,.558,.556,22,30,.733,33,43,76,27,11,21,18,54,200,,jonesde02
21,T.J. McConnell,31,IND,PG,17,0,348,90,185,.486,7,26,.269,83,159,.522,.505,13,15,.867,11,41,52,86,15,2,21,26,200,,mccontj01
22,Joel Embiid,29,PHI,C,6,6,248,59,133,.444,13,39,.333,46,94,.489,.492,67,78,.859,19,46,65,34,7,9,25,20,198,,embiijo01
23,Daniel Gafford,25,DAL,PF,22,22,445,78,123,.634,0,0,,78,123,.634,.634,41,65,.631,42,80,122,15,6,33,19,38,197,,gaffoda01
24,Jaden McDaniels,23,MIN,SF,16,16,537,72,140,.514,24,56,.429,48,84,.571,.600,27,35,.771,28,33,61,18,14,18,17,54,195,,mcdanja02
